web-scraper-order,web-scraper-start-url,categories,categories-href,names,price
1533727584-1,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 6A,
1533727623-76,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,,"Rs. 23,000 					 at 6 stores"
1533727633-100,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 114,500 					 at 4 stores"
1533727584-13,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,,"Rs. 17,990 					 at 5 stores"
1533727584-17,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,,"Rs. 26,900 					 at 4 stores"
1533727626-79,https://www.ideabeam.com/mobile/list/2-gb-ram/,HTC,https://www.ideabeam.com/mobile/list/2-gb-ram/htc/,HTC Desire 650 32GB,
1533727608-49,https://www.ideabeam.com/mobile/list/2-gb-ram/,Nokia,https://www.ideabeam.com/mobile/list/2-gb-ram/nokia/,Nokia 3.1,
1533727612-58,https://www.ideabeam.com/mobile/list/2-gb-ram/,Meizu,https://www.ideabeam.com/mobile/list/2-gb-ram/meizu/,,"Rs. 19,900"
1533727584-12,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,,"Rs. 19,990 					 at 4 stores"
1533727633-97,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 68,990 					 at 9 stores"
1533727597-40,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,,"Rs. 35,750 					 at 6 stores"
1533727619-64,https://www.ideabeam.com/mobile/list/2-gb-ram/,Lenovo,https://www.ideabeam.com/mobile/list/2-gb-ram/lenovo/,,"Rs. 18,900 					 at 4 stores"
1533727584-19,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,,"Rs. 25,300 					 at 2 stores"
1533727626-81,https://www.ideabeam.com/mobile/list/2-gb-ram/,HTC,https://www.ideabeam.com/mobile/list/2-gb-ram/htc/,HTC Desire 825,
1533727589-22,https://www.ideabeam.com/mobile/list/2-gb-ram/,Vivo,https://www.ideabeam.com/mobile/list/2-gb-ram/vivo/,,"Rs. 18,200 					 at 9 stores"
1533727633-87,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 8,
1533727633-94,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 112,400 					 at 8 stores"
1533727597-31,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy On7 Pro,
1533727597-34,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy J2 Pro (2016),
1533727608-51,https://www.ideabeam.com/mobile/list/2-gb-ram/,Nokia,https://www.ideabeam.com/mobile/list/2-gb-ram/nokia/,Nokia 3,
1533727623-73,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,,"Rs. 19,990 					 at 6 stores"
1533727633-95,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 137,400 					 at 9 stores"
1533727633-86,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 8 256GB,
1533727584-4,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 5A,
1533727584-5,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 4a,
1533727584-7,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 4,
1533727608-50,https://www.ideabeam.com/mobile/list/2-gb-ram/,Nokia,https://www.ideabeam.com/mobile/list/2-gb-ram/nokia/,Nokia 5,
1533727593-26,https://www.ideabeam.com/mobile/list/2-gb-ram/,Sony,https://www.ideabeam.com/mobile/list/2-gb-ram/sony/,,"Rs. 20,400 					 at 8 stores"
1533727633-91,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 7 256GB,
1533727623-70,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei GR5 Mini,
1533727584-2,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi 5,
1533727584-3,https://www.ideabeam.com/mobile/list/2-gb-ram/,Xiaomi,https://www.ideabeam.com/mobile/list/2-gb-ram/xiaomi/,Xiaomi Redmi Note 5A,
1533727623-66,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,Huawei Y7 Dual SIM,
1533727623-72,https://www.ideabeam.com/mobile/list/2-gb-ram/,Huawei,https://www.ideabeam.com/mobile/list/2-gb-ram/huawei/,,"Rs. 18,700 					 at 11 stores"
1533727597-32,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy J5 Prime 32 GB,
1533727612-56,https://www.ideabeam.com/mobile/list/2-gb-ram/,Meizu,https://www.ideabeam.com/mobile/list/2-gb-ram/meizu/,Meizu M5,
1533727633-93,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 7 32GB,
1533727597-35,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy J5 Prime,
1533727619-63,https://www.ideabeam.com/mobile/list/2-gb-ram/,Lenovo,https://www.ideabeam.com/mobile/list/2-gb-ram/lenovo/,Lenovo Vibe K5,
1533727601-44,https://www.ideabeam.com/mobile/list/2-gb-ram/,Panasonic,https://www.ideabeam.com/mobile/list/2-gb-ram/panasonic/,,"Rs. 19,800 					 at 2 stores"
1533727633-92,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,Apple iPhone 7 128GB,
1533727605-46,https://www.ideabeam.com/mobile/list/2-gb-ram/,Oppo,https://www.ideabeam.com/mobile/list/2-gb-ram/oppo/,Oppo A37,
1533727608-52,https://www.ideabeam.com/mobile/list/2-gb-ram/,Nokia,https://www.ideabeam.com/mobile/list/2-gb-ram/nokia/,,"Rs. 20,700 					 at 9 stores"
1533727593-28,https://www.ideabeam.com/mobile/list/2-gb-ram/,Sony,https://www.ideabeam.com/mobile/list/2-gb-ram/sony/,,"Rs. 21,800 					 at 7 stores"
1533727633-101,https://www.ideabeam.com/mobile/list/2-gb-ram/,Apple,https://www.ideabeam.com/mobile/list/2-gb-ram/apple/,,"Rs. 107,990 					 at 9 stores"
1533727597-33,https://www.ideabeam.com/mobile/list/2-gb-ram/,Samsung,https://www.ideabeam.com/mobile/list/2-gb-ram/samsung/,Samsung Galaxy A3 (2017),
